TIME,THROTTLE,THRUST,CURRENT,VOLTAGE
0.0,3.0,0.5,0.2,16.5
0.01055,3.0,0.3,0.2,16.5
0.02122,3.0,0.5,0.2,16.6
0.03188,3.0,1.4,0.2,16.5
0.04254,3.0,1.6,0.2,16.6
0.05321,3.0,1.4,0.2,16.5
0.06387,3.0,1.1,0.2,16.5
0.07453,3.0,1.1,0.2,16.5
0.0852,3.0,1.1,0.2,16.5
0.09586,3.0,1.4,0.2,16.5
0.10654,3.0,1.7,0.2,16.5
0.11719,3.0,1.6,0.2,16.5
0.12785,3.0,1.6,0.2,16.5
0.1385,3.0,1.9,0.3,16.6
0.14916,3.0,1.7,0.3,16.5
0.15983,3.0,1.8,0.3,16.5
0.17049,3.0,2.0,0.3,16.5
0.18116,3.0,2.0,0.3,16.5
0.19182,3.0,2.0,0.2,16.6
0.20249,3.0,2.1,0.3,16.5
0.21315,3.0,2.1,0.3,16.5
0.22381,3.0,2.3,0.3,16.5
0.23448,3.0,2.0,0.3,16.5
0.24514,3.0,2.2,0.3,16.5
0.2558,3.0,1.9,0.3,16.5
0.26646,3.0,1.9,0.3,16.5
0.27711,3.0,2.0,0.3,16.5
0.28777,3.0,2.1,0.3,16.6
0.29844,3.0,2.1,0.3,16.5
0.3091,3.0,2.0,0.3,16.5
0.31976,3.0,2.1,0.2,16.6
0.33043,3.0,1.8,0.3,16.5
0.34109,3.0,1.7,0.3,16.7
0.35175,3.0,1.8,0.2,16.5
0.36241,3.0,2.0,0.3,16.5
0.37308,3.0,2.0,0.3,16.6
0.38374,3.0,2.2,0.2,16.5
0.39441,3.0,2.0,0.2,16.6
0.40506,3.0,2.0,0.2,16.5
0.41573,3.0,2.1,0.2,16.5
0.42639,3.0,1.9,0.2,16.6
0.43704,3.0,1.8,0.2,16.5
0.4477,3.0,1.9,0.2,16.6
0.45836,3.0,1.8,0.2,16.5
0.46902,3.0,1.9,0.2,16.5
0.47969,3.0,2.1,0.2,16.5
0.49036,3.0,1.9,0.2,16.5
0.50102,3.0,2.1,0.2,16.5
0.51169,3.0,2.0,0.2,16.5
0.52234,3.0,2.1,0.2,16.6
0.533,3.0,2.0,0.2,16.5
0.54366,3.0,1.6,0.2,16.6
0.55431,3.0,1.6,0.2,16.5
0.56497,3.0,1.8,0.2,16.5
0.57562,3.0,1.9,0.2,16.6
0.58628,3.0,1.8,0.2,16.6
0.59692,3.0,1.9,0.3,16.5
0.60758,10.0,2.0,0.3,16.6
0.61829,10.0,1.6,0.3,16.5
0.62895,10.0,2.1,0.2,16.5
0.63962,10.0,2.4,0.2,16.6
0.65028,10.0,2.3,0.3,16.5
0.66094,10.0,2.6,0.3,16.6
0.6716,10.0,2.6,0.3,16.5
0.68226,10.0,2.8,0.3,16.5
0.69293,10.0,3.3,0.3,16.5
0.70359,10.0,3.3,0.3,16.5
0.71425,10.0,3.7,0.3,16.4
0.72492,10.0,4.0,0.3,16.6
0.73557,10.0,4.2,0.3,16.5
0.74622,10.0,4.2,0.3,16.5
0.75687,10.0,4.8,0.3,16.6
0.76753,10.0,5.5,0.3,16.5
0.77819,10.0,5.7,0.4,16.5
0.78886,10.0,5.9,0.3,16.5
0.79952,10.0,6.7,0.3,16.5
0.81018,10.0,7.7,0.3,16.5
0.82084,10.0,8.3,0.3,16.5
0.8315,10.0,8.7,0.4,16.5
0.84215,10.0,9.4,0.4,16.6
0.85282,10.0,11.3,0.4,16.5
0.86352,10.0,12.8,0.5,16.5
0.87418,10.0,13.2,0.4,16.6
0.88484,10.0,14.8,0.4,16.5
0.89551,10.0,15.8,0.4,16.5
0.90618,10.0,15.7,0.4,16.5
0.91682,10.0,17.0,0.4,16.6
0.92748,10.0,17.9,0.4,16.5
0.93814,10.0,18.1,0.4,16.5
0.94879,10.0,19.6,0.4,16.5
0.95944,10.0,19.6,0.4,16.5
0.97011,10.0,19.5,0.4,16.5
0.98078,10.0,20.8,0.4,16.5
0.99143,10.0,20.2,0.4,16.5
1.00209,10.0,21.0,0.4,16.5
1.01276,10.0,22.0,0.5,16.6
1.02342,10.0,21.2,0.4,16.5
1.03406,10.0,22.4,0.4,16.5
1.04472,10.0,22.2,0.4,16.4
1.05538,10.0,22.6,0.5,16.5
1.06604,10.0,23.2,0.4,16.5
1.07668,10.0,22.3,0.4,16.5
1.08734,10.0,23.5,0.4,16.5
1.098,10.0,23.2,0.4,16.6
1.10865,10.0,23.6,0.4,16.5
1.11931,10.0,24.2,0.4,16.5
1.12996,10.0,23.4,0.4,16.6
1.14062,10.0,24.6,0.4,16.5
1.15127,10.0,24.4,0.5,16.5
1.16192,10.0,24.5,0.4,16.5
1.17258,10.0,24.7,0.5,16.6
1.18323,10.0,24.1,0.4,16.5
1.19388,10.0,25.3,0.4,16.5
1.20455,3.0,24.7,0.4,16.5
1.21516,3.0,25.7,0.4,16.5
1.22581,3.0,24.8,0.3,16.6
1.23647,3.0,20.9,0.4,16.5
1.24712,3.0,18.7,0.4,16.5
1.25778,3.0,15.6,0.4,16.5
1.26844,3.0,13.2,0.4,16.5
1.27909,3.0,12.9,0.3,16.6
1.28976,3.0,11.8,0.3,16.5
1.30041,3.0,10.1,0.3,16.5
1.31108,3.0,9.9,0.3,16.5
1.32169,3.0,9.5,0.3,16.5
1.33235,3.0,8.7,0.3,16.5
1.34301,3.0,7.4,0.3,16.5
1.35366,3.0,7.5,0.3,16.5
1.36432,3.0,7.5,0.3,16.5
1.37498,3.0,7.3,0.2,16.5
1.38562,3.0,6.6,0.2,16.5
1.39628,3.0,5.8,0.2,16.5
1.40695,3.0,6.2,0.2,16.5
1.4176,3.0,5.9,0.2,16.6
1.42827,3.0,5.5,0.2,16.5
1.43893,3.0,5.1,0.2,16.5
1.44958,3.0,4.6,0.2,16.5
1.46024,3.0,4.7,0.2,16.6
1.4709,3.0,4.9,0.2,16.5
1.48155,3.0,4.5,0.3,16.5
1.4922,3.0,4.3,0.3,16.6
1.50285,3.0,3.9,0.3,16.5
1.5135,3.0,3.7,0.3,16.6
1.52415,3.0,4.0,0.3,16.5
1.5348,3.0,3.8,0.3,16.6
1.54546,3.0,3.8,0.3,16.5
1.55611,3.0,3.9,0.3,16.6
1.56677,3.0,3.5,0.3,16.4
1.57743,3.0,3.0,0.3,16.5
1.58808,3.0,3.4,0.3,16.5
1.59875,3.0,3.3,0.3,16.5
1.60941,3.0,3.2,0.3,16.5
1.62006,3.0,3.2,0.3,16.5
1.63072,3.0,3.0,0.3,16.5
1.64137,3.0,3.0,0.3,16.5
1.65203,3.0,2.7,0.3,16.5
1.66269,3.0,3.0,0.3,16.5
1.67334,3.0,3.0,0.3,16.6
1.684,3.0,2.4,0.3,16.5
1.69466,3.0,3.0,0.3,16.5
1.70531,3.0,3.2,0.3,16.5
1.71596,3.0,2.5,0.3,16.5
1.72663,3.0,2.3,0.3,16.5
1.73728,3.0,2.4,0.3,16.5
1.74794,3.0,2.7,0.3,16.5
1.75859,3.0,2.6,0.3,16.6
1.76926,3.0,2.3,0.3,16.5
1.7799,3.0,2.5,0.3,16.5
1.79056,3.0,2.8,0.3,16.5
